Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,145.570007,146.630005,144.940002,146.210007,146.210007,8827200
2018-12-04,146.320007,148.990005,145.820007,146.029999,146.029999,9803500
2018-12-06,144.500000,146.449997,142.789993,145.910004,145.910004,11572500
2018-12-07,145.490005,147.339996,144.119995,145.429993,145.429993,9444500
2018-12-10,145.389999,145.880005,142.380005,145.259995,145.259995,6848100
2018-12-11,146.289993,148.210007,145.789993,146.500000,146.500000,9857400
2018-12-12,147.000000,148.490005,147.000000,147.100006,147.100006,8869200
2018-12-13,146.960007,148.589996,146.800003,147.839996,147.839996,6008300
2018-12-14,144.339996,145.380005,130.199997,133.000000,133.000000,58140200
2018-12-17,128.320007,131.649994,126.830002,129.139999,129.139999,36933100
2018-12-18,132.050003,132.800003,129.199997,130.419998,130.419998,24640100
2018-12-19,129.869995,131.350006,127.089996,127.610001,127.610001,21232100
2018-12-20,127.720001,129.750000,126.760002,128.270004,128.270004,16609600
2018-12-21,127.800003,130.600006,127.120003,128.089996,128.089996,19732900
2018-12-24,127.300003,128.000000,121.000000,122.839996,122.839996,7531900
2018-12-26,123.419998,126.760002,122.010002,126.709999,126.709999,9253000
2018-12-27,125.870003,127.410004,123.070000,127.410004,127.410004,9918700
2018-12-28,127.910004,128.750000,126.750000,127.269997,127.269997,6537200
2018-12-31,128.179993,129.550003,127.419998,129.050003,129.050003,7409900
2019-01-02,128.130005,128.380005,126.279999,127.750000,127.750000,7631700
2019-01-03,128.139999,128.270004,125.360001,125.720001,125.720001,8654500
2019-01-04,127.120003,128.649994,126.730003,127.830002,127.830002,8831700
2019-01-07,127.629997,128.350006,126.800003,127.010002,127.010002,8404700
2019-01-08,128.179993,130.500000,127.730003,129.960007,129.960007,9351600
2019-01-09,129.830002,130.240005,128.330002,128.929993,128.929993,7403500
2019-01-10,127.690002,129.889999,127.690002,129.710007,129.710007,6224400
2019-01-11,129.000000,129.839996,128.309998,129.750000,129.750000,5300400
2019-01-14,128.740005,128.960007,127.589996,128.279999,128.279999,7374400
2019-01-15,128.520004,129.490005,127.650002,129.360001,129.360001,5194400
2019-01-16,129.410004,129.410004,127.900002,128.039993,128.039993,6264200
2019-01-17,127.709999,129.520004,127.459999,129.089996,129.089996,7632000
2019-01-18,129.899994,131.179993,129.449997,130.690002,130.690002,10593000
2019-01-22,128.199997,129.500000,127.010002,128.800003,128.800003,10568100
2019-01-23,128.500000,129.300003,127.930000,128.800003,128.800003,9267800
2019-01-24,128.490005,128.699997,125.000000,127.029999,127.029999,9917000
2019-01-25,128.130005,128.449997,127.029999,128.229996,128.229996,7585100
2019-01-28,127.809998,129.149994,127.290001,128.990005,128.990005,6927700
2019-01-29,128.949997,130.470001,128.500000,130.330002,130.330002,6669300
2019-01-30,130.369995,132.190002,130.300003,131.639999,131.639999,7299300
2019-01-31,131.630005,135.190002,130.869995,133.080002,133.080002,17298100
2019-02-01,134.020004,134.690002,133.470001,134.199997,134.199997,9575200
2019-02-04,133.960007,134.149994,132.210007,132.880005,132.880005,7759000
2019-02-05,133.520004,133.880005,132.750000,132.880005,132.880005,6449800
2019-02-06,133.080002,133.570007,132.300003,133.000000,133.000000,5066100
2019-02-07,132.449997,132.639999,131.529999,132.050003,132.050003,6085300
2019-02-08,131.949997,132.460007,131.539993,132.399994,132.399994,4436700
2019-02-11,132.309998,132.669998,131.259995,132.000000,132.000000,4962200
2019-02-12,132.080002,134.300003,132.080002,134.160004,134.160004,6262300
2019-02-13,134.070007,134.979996,133.210007,134.449997,134.449997,7902200
2019-02-14,134.300003,134.820007,133.350006,134.309998,134.309998,3910400
2019-02-15,135.190002,136.410004,135.009995,136.380005,136.380005,6665000
2019-02-19,136.139999,136.380005,135.630005,135.690002,135.690002,5935500
2019-02-20,135.970001,136.729996,135.729996,136.350006,136.350006,6089800
2019-02-21,134.979996,135.789993,134.270004,135.419998,135.419998,6585800
